id,location,numberOfCalls,distanceTo
0,Alaska,11,2340
1,Andorra,1,5922
2,Argentina,33,5870
3,Asiatic Russia,39,4257
4,Australia,4,8082
5,Barbados,1,3929
6,Bonaire,1,3472
7,Brazil,24,5137
8,Canada,182,1367
9,Canary Islands,1,5817
10,Chile,5,5394
11,China,68,6910
12,Colombia,20,3554
13,Costa Rica,1,2729
14,Cuba,65,2489
15,Curacao,1,3443
16,Dominica,1,3743
17,Dominican Republic,3,3127
18,Ecuador,2,3560
19,England,1,1496
20,Falkland Islands/Malvinas,1,6913
21,Faroe Islands,1,4796
22,France,1,5772
23,Guam,1,6089
24,Haiti,2,2990
25,Hawaii,10,2486
26,Honduras,1,2375
27,Hong Kong,7,7239
28,India,1,8404
29,Indonesia,61,8217
30,Iran,1,7840
31,Ivory Coast,1,7194
32,Jamaica,4,2748
33,Japan,894,5477
34,Jersey,1,5481
35,Martinique,3,3792
36,Mexico,19,1245
37,Mozambique,1,10464
38,New Zealand,3,6699
39,Norway,1,5205
40,Panama,1,2978
41,Peru,2,4149
42,Philippines,7,7322
43,Poland,1,5980
44,Puerto Rico,20,3348
45,Slovenia,1,6182
46,South Africa,2,10173
47,South Korea,77,6000
48,St Lucia,1,3822
49,Suriname,1,4486
50,Taiwan,1,6853
51,Tanzania,1,9855
52,Thailand,7,8152
53,The Gambia,1,6406
54,Turkmenistan,1,7338
55,Ukraine,2,6415
56,United States,2577,1500
57,Uruguay,3,6146
58,US Virgin Islands,7,3470
59,Uzbekistan,1,7205
60,Venezuela,6,3760
61,West Malaysia,3,8677